Starting Sample AI Mock script (Multi-Campaign). Target: http://localhost:3000/api/events
[23:50:47] Sent data for Iklan Mobil Listrik. Status: 200
[23:50:49] Sent data for Iklan Mobil Listrik. Status: 200
[23:50:52] Sent data for Iklan Mobil Listrik. Status: 200
[23:50:54] Sent data for Iklan Mobil Listrik. Status: 200
[23:50:56] Sent data for Promo Skincare Baru. Status: 200
[23:50:58] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:00] Sent data for Promo Skincare Baru. Status: 200
[23:51:02] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:04] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:05] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:07] Sent data for Promo Skincare Baru. Status: 200
[23:51:09] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:10] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:12] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:14] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:15] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:17] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:19] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:21] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:24] Sent data for Promo Skincare Baru. Status: 200
[23:51:26] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:28] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:30] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:32] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:34] Sent data for Promo Skincare Baru. Status: 200
[23:51:36] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:37] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:39] Sent data for Promo Skincare Baru. Status: 200
[23:51:41] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:43] Sent data for Iklan Mobil Listrik. Status: 200
[23:51:45] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:48] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:50] Sent data for Iklan Mobil Listrik. Status: 200
